chembl_id,pref_name,MeanByChembl_id,ACVR1,ASXL1,ATG7,BCL10,BUB1B,CASP8,CCNE1,CDKN2A,CDKN2C,DNM2,HRAS,JAG1,MARK3,MUTYH,NBN,PPP2R1A,PREX2,RB1,SETD2,SMARCA4,TPR,TSC1,VAV1
CHEMBL1200563,CERIVASTATIN SODIUM,0.001038703619724961,0.0018376419474717,0.0007477475012191,0.0007556687446464,0.0019892981354027,0.0006737817729255,0.001463824424411,0.0016670963903266,0.0019225333818495,0.0016772761275363,0.0007144806366833,0.0016269022788723,0.0007047152734802,0.0007108931238592,0.0007006639977931,0.0007489049995398,0.0007482133000697,0.0007744699985751,0.0007519250146149,0.0007356544309943,0.0007476254092545,0.0007575784387028,0.0007126936337504,0.0007205942916957
CHEMBL1908377,PYRVINIUM PAMOATE,0.001060958914811752,0.001587661606928,0.0001343615158785,0.0001560962841813,0.0029232413621298,0.000606861250869,0.0062529584207981,0.0032373761844913,0.0029748770029632,0.0028836504794885,0.0002453746100212,0.0009290529718248,0.0003253399547909,0.0002720426764615,0.0003610230712767,0.0001248341671412,0.0001770089085105,0.0001043915852093,0.0001466803001871,0.0001924486225237,0.0001286152674384,0.0001613203607664,0.0002583130848074,0.0002185253519835
CHEMBL186,CEFEPIME,0.0016868206757677492,6.299142021592932e-05,0.001207126144685,0.0015397422334948,0.0006262927260206,0.0052980343576483,0.0040678810162105,0.0007812807802598,0.000650965470035,8.015027255844284e-05,0.0022918817357219,5.514266494216199e-05,0.0027166996686468,0.0024251827061241,0.0029168499338601,0.0010503061221209,0.0017565893220818,0.0006989433046452,0.0014403801113111,0.0019209997437802,0.0011104325000568,0.0015937920796536,0.0023572063482963,0.0021480048802889
CHEMBL260538,ULIPRISTAL ACETATE,0.001806801638340274,0.0002027639906059,0.0006833240463523,0.0010829729959777,0.0021153954437264,0.0059779977799271,0.0048445435279612,0.0026165822151196,0.0022111345198065,0.0002712702843346,0.002244224063167,0.000164075357476,0.0028648275473641,0.0024765621563183,0.0030553771210177,0.000502756557251,0.0013636353339554,0.0002421891892515,0.0009653864323983,0.0016027244354152,0.0005675026828219,0.0011503658391358,0.0023571972558265,0.0019936289066163
CHEMBL2042122,FLUTEMETAMOL F 18,0.003078626063808376,2.328767880049693e-05,0.000748591153132,0.0016224513969008,0.0006272552249888,0.0166215308598378,0.0042161536501783,0.0007963733966033,0.000652591542901,1.6620778840453133e-05,0.0049444976165177,3.863078778138257e-05,0.0072281554588101,0.0056803978315608,0.0083244196708096,0.0004574362027309,0.0023848425748493,0.000160678910444,0.0013352013308063,0.0030906106209587,0.0005531586808667,0.0017942923417755,0.0052983159303773,0.0041929058271214
CHEMBL4303288,ABACAVIR SULFATE,0.0033301991197898172,0.000900788399087,0.00364561231349,0.0037674101593767,0.0016545805242494,0.0059067835426548,0.0020840106660061,0.0017270862093804,0.0016676495064291,0.0009533522722609,0.0043421014053345,0.0008241534160278,0.004659546592376,0.0044458981560015,0.0047885308370045,0.003660120561778,0.0039384532573188,0.0037587718710812,0.0037139373556769,0.0040762058049498,0.0036498553378868,0.0037978984677787,0.0043885507327366,0.0042432823662803
CHEMBL1173655,AFATINIB,0.0036247142413427203,0.0005321117924803,0.0019030158212604,0.0025449583923737,0.0041475547830927,0.0076952488281332,0.0166502218900553,0.0045878156832113,0.0042197384615067,0.0005882277601931,0.0038309873042087,0.0004625283819249,0.0044110207638268,0.0040327011536764,0.0046647277894951,0.0015758177449661,0.002937724005678,0.0011120141586562,0.0023660730036247,0.0032308503789426,0.0016979985675652,0.0026426365831803,0.0039301369135992,0.0036043173892317
CHEMBL1477,CERIVASTATIN,0.0037019094259294,0.0028992774361153,0.0019693948034702,0.0020309093768539,0.0125893193298381,0.0020609149411014,0.006991824513712,0.010876478722347,0.0122804442943051,0.0045488411182861,0.0020761369475563,0.0022993582411389,0.0020731297810244,0.0020751939603315,0.0020717796646082,0.0019587437677309,0.002072212139049,0.0020259348867602,0.0020102941678454,0.0020769210205487,0.001962225743113,0.0020416456679466,0.002075673406904,0.00207726286579
CHEMBL3286830,LORLATINIB,0.0037724533494775427,0.0009322087459122,0.0004292340945525,0.0005137228364471,0.0193530211874204,0.0024515945101382,0.0124531622013167,0.0202936163878524,0.0195258750028574,0.0014676948284629,0.0007844421115467,0.0007286531084014,0.0009827210084023,0.0008487668926337,0.0010888137977218,0.0003836290795673,0.0005861080756085,0.0003378390083724,0.0004897975041917,0.0006431911255371,0.000400979254818,0.0005290348690606,0.000815863533903,0.0007264578732592
CHEMBL3786343,OLMUTINIB,0.004341794084676344,0.0031939264045844,0.0026883153846756,0.0027920437772201,0.007827699975841,0.0047950596060377,0.016381582318484,0.0085522803739342,0.0079285204001645,0.0034875859422125,0.0032198275323129,0.0029229782705069,0.0035415833597645,0.0033337694614439,0.0036706915335584,0.0026291646763608,0.0028672891917581,0.0025048998056803,0.0027573100679535,0.0029361430258147,0.0026529907399418,0.0028101548297424,0.0032761080291481,0.0030913392404156
CHEMBL3544985,DASABUVIR SODIUM MONOHYDRATE,0.004621911967174257,0.0069504143382918,0.0021152231894244,0.0029743084054449,0.0060840353903533,0.0094844794183759,0.0021807075941474,0.0058709290139683,0.0060471800930674,0.0079045492123835,0.0051822396015633,0.004398012396931,0.0063791655995017,0.00556826823189,0.0069156990469051,0.0016752314858399,0.0036001118737708,0.0010460199980861,0.0027102161561993,0.0040868415580818,0.0018727020387864,0.0031272782787977,0.0053693210801316,0.0047610412430663
