PCA1,PCA2,Class
-2.490395528372212,0.7065807053670776,-1
-1.5853740350012477,-0.6776881235297538,-1
-1.4799741026329878,0.030839121446891493,-1
-1.438806497499161,0.15916667352537806,-1
-1.035066647023008,1.0697308745286687,-1
-1.7083681973575136,-0.01989978045748758,-1
-1.1760131460576702,0.5049467072326327,-1
-1.7488308377568844,-0.29132580029281696,-1
-1.511234610022787,-1.0811043394653173,-1
-1.6535312801655233,0.5949701668838612,-1
-1.4198506478014605,-0.8918691859053012,-1
-2.400982815750355,1.2882140086406388,-1
-0.0606193205714427,-2.2774029326925955,-1
-1.053960965138141,0.3907085098752467,-1
-0.6039636319029564,1.6936748950157867,-1
-2.3500538636046335,-2.0430967939466487,-1
-3.0407195781140492,2.984527678735616,-1
-2.0965768537569316,-1.4748994370811457,-1
-0.4657463281395309,0.19233695425723524,-1
-0.08027318036860848,-0.609208603768477,-1
-1.777044901076745,-0.3395797411247968,-1
-1.312142444083893,-0.2614193565420765,-1
-1.867297613613307,2.209398203776548,-1
-0.23755168974800014,-1.609617092038922,1
-1.7509534238424451,0.7843039840937913,1
-1.6786920782654904,-0.38880728118138674,1
-2.5993172826331192,-0.867756607476616,1
-1.5986895346759704,-0.6008061894768431,1
-1.3205860282536452,-0.8553311039417316,1
-1.0340272228908123,0.8226982305422551,1
-2.3136629430418383,0.7643696966955787,1
-2.749596784534733,-0.33383905866083047,1
-2.572413506790892,1.6410224699508158,1
-1.0963677433755252,-0.8778008048231186,1
-2.023464863030999,-0.7055893701661018,1
-1.2322350042534858,-1.069251355052867,1
-2.558081837471108,0.3378096497774991,1
-0.6151635801724227,-0.13175422660297406,1
-2.373505255748216,-0.8950025956139729,1
-1.3276256817633707,-3.8472454901611512,1
-2.47854080577669,0.08828409585784976,1
-2.3218625896232976,0.7197994760605951,1
-2.683479059641366,-1.8014217464929758,1
-0.9905575037312132,-0.34038002601641015,1
-1.6083570092885433,-0.2823392609740331,1
-0.8914741183983367,-0.7077153661573333,1
-2.4258738839977236,-0.7742646245061481,1
-1.4374279612416556,-0.09037763794627374,1
-1.8468449955403143,0.42742621163884464,1
-2.0737478111042784,1.0953956627682808,1
-1.4774981457463607,-0.8129027271682245,1
-1.7876502339443134,-0.24102601353579214,1
-2.1882696238918036,-2.8497353332759428,1
-0.6523876379796337,-1.5322892202666105,1
-1.1415069699919995,0.2712757131864134,1
-0.7202040138415484,-0.8369907821685781,1
-0.3015180921855143,2.541577612080954,1
-2.500801349462359,-1.1897319306553724,1
-0.9252660730342205,-1.443677396818405,1
-2.2044050566978717,-1.337791774916624,1
-2.236413011941448,-1.9298764480073944,1
-1.8337226492762315,-0.7162979500543942,1
-0.354581630866049,2.5647221075947444,1
-2.4530592272655314,-2.173572537100552,1
-1.4753408062413913,-1.0675886513034158,1
-1.5090420080182838,-1.1391095082512297,1
-2.3801133961150254,0.19274851449220348,1
-2.5698813908672746,-0.5695681812475768,1
-2.0622493715234866,-1.652778501651452,1
-2.2271369623738226,-0.6457208383106494,1
-1.3408289539831695,-0.8162590533509353,1
-1.6059822952744274,-0.7580439127701569,1
-1.1611493060248088,-1.1380814909010564,1
-1.9018170587301761,0.7361623184190055,1
-1.9865325551066007,-0.005809754574543721,1
-2.7602192452742504,-1.4049121480358004,1
-0.05126575050500231,-0.3883689072419143,1
-1.2308893356729236,-0.5891656625501227,1
-2.3195689489999647,0.3173056179667826,1
-1.3164711699686469,-0.7860310327370419,1
1.64469255623554,-0.4435648457446915,1
-2.362189744974022,0.006635050427985219,1
-0.7155268844693738,-0.6724750790333369,1
-1.0944083792833708,-0.35280456570295365,1
-0.05032541410388171,-1.3149580467832573,1
-2.0632723224703895,-1.3218712273060471,1
-2.2245813239702232,0.6765896250636753,1
-3.427890941732731,-1.2301355508119731,1
