chembl_id,pref_name,MeanByChembl_id,ACVR1,ASXL1,ATG7,BCL10,BUB1B,CASP8,CCNE1,CDKN2A,CDKN2C,DNM2,HRAS,JAG1,MARK3,MUTYH,NBN,PPP2R1A,PREX2,RB1,SETD2,SMARCA4,TPR,TSC1,VAV1
CHEMBL1908377,PYRVINIUM PAMOATE,9.358445219555264,8.799242057264365,9.871725105053905,9.80660743504623,8.534135324938973,9.216910592071253,8.203914459161638,8.489806832461404,8.526530985578653,8.540057380578274,9.61017037762431,9.031959523126512,9.487662598016342,9.56536296104692,9.442465043501436,9.903666531880862,9.75200487590024,9.981334507506322,9.83362820990938,9.715685193077944,9.890707474874343,9.792310815435236,9.5878535941528,9.66049817156373
CHEMBL4299851,PIFLUFOLASTAT,9.11604194491841,8.802704903728834,9.528010603951088,9.595887531967218,7.401911567862163,9.84311511372582,7.059892379896221,7.342403247513339,7.392747235155319,8.681403461894261,9.69899376683333,8.913931442823014,9.73497282349835,9.711967342331798,9.74839535544018,9.482639572070838,9.631224796834262,9.369410970163724,9.578926955218002,9.655350063226049,9.501023705569152,9.604997327261994,9.705453378943789,9.68360118721466
CHEMBL1200563,CERIVASTATIN SODIUM,9.021991963350006,8.735739104149793,9.126245029595252,9.121668540344452,8.701300124438497,9.171480741685151,8.834511010765445,8.778039288848213,8.716126110602112,8.775395434237305,9.146009536635844,8.788638532509399,9.151986315821723,9.14819568648132,9.154490197279475,9.12557327014082,9.125974576149066,9.110995401281931,9.123825467071514,9.133326144841856,9.12631594684439,9.120572394202265,9.147097120590471,9.142309182533843
CHEMBL186,CEFEPIME,8.969600787415098,10.20071859985797,8.918247343756772,8.812551977826331,9.203222632315065,8.275885229638503,8.390631758492388,9.107192859332748,9.186442047639115,10.09609499644862,8.639807796324419,10.258512249080656,8.56595837021619,8.615255537361708,8.535085913892642,8.978684103052316,8.755329761556016,9.155558050975817,8.841522883973518,8.716472693063777,8.954507835804197,8.797568335730904,8.62760239795769,8.667964736249873
CHEMBL2042122,FLUTEMETAMOL F 18,8.95441148286933,10.632873797612778,9.125755309693725,8.789828304311209,9.202555712357944,7.779328979747888,8.375083570421541,9.098883256305802,9.185358558643758,10.779348629277182,8.305877828123009,10.413066435380449,8.140972515466755,8.245621247035247,8.079646033203023,9.33966946713614,8.622540283764629,9.794041121860396,8.874453243463652,8.509955707269635,9.257150267719911,8.746106796477838,8.275862148958993,8.377484891763087
CHEMBL260538,ULIPRISTAL ACETATE,8.914872862628755,9.69300916999794,9.165373296071728,8.965382372408888,8.67460843539287,8.223444250582379,8.314747137628059,8.582265614827678,8.655384835244652,9.566597777400675,8.648933785321756,9.784956640859274,8.54290151592428,8.60615076769876,8.51493517773929,9.298642256366474,8.865301754038148,9.615845246631444,9.015298809076404,8.795141141692167,9.246032081038786,8.939164023427717,8.627604073168298,8.70035567792373
CHEMBL3286830,LORLATINIB,8.911188572744436,9.030486826866198,9.367305788831048,9.289271128216605,7.713251227926424,8.610551359835556,7.904720355218442,7.692640553393493,7.709389495202368,8.833364236035946,9.105439099959051,9.137479178077465,9.00756975959293,9.071211569053585,8.963046384281116,9.416088480184918,9.23202229471105,9.471290206325593,9.309983432193183,9.191659956418867,9.396878095587066,9.276515702366405,9.088382477801554,9.138789565043162
CHEMBL4596392,CRAVACITINIB,8.882347244542537,9.9240877214804,9.368245395848495,9.124406206749494,7.709619278257646,8.796959489741587,6.976771686803906,7.613934133324619,7.692864100942613,9.59411143645206,8.780117480676624,9.958834567674836,8.784136124794443,8.781694412263755,8.785237482702971,9.485571190637565,8.999048707760155,9.696846146831875,9.18810311202575,8.913047676159216,9.440029659544164,9.091475102721311,8.780900734703849,8.80794477638102
CHEMBL2396661,ALPELISIB,8.758190843235436,10.90314110928817,8.958057979354875,8.594156632003347,8.597189321610184,7.818109733090136,7.715880284843614,8.471483937217593,8.576498795371531,10.657227264916486,7.982926445718594,11.00621867943941,7.859875339469593,7.897496660935515,7.855243847470445,9.206158345841056,8.40051885151,10.307404201393172,8.687636920572427,8.2678224409747,9.105443753321856,8.545091388459996,7.940365114299597,8.0844423473127
CHEMBL4594292,TEPOTINIB HYDROCHLORIDE,8.749169166446562,8.081602679194987,9.321428471077684,9.313400117298634,7.0337724030047335,9.281323556815837,7.0000633497829226,6.995500262216998,7.027221026579776,7.777205650300273,9.310945189217582,8.33714209759468,9.309997020012572,9.310598234486893,9.308722557007725,9.327941689927648,9.311877536989057,9.295058050200067,9.31484210136444,9.311911785739298,9.325298952123813,9.312908536051983,9.310772456390286,9.31135710489302
CHEMBL546,OXPRENOLOL,8.683725773181793,9.805982395354352,9.171477577398448,8.891742719895879,8.338116884034932,7.900452104719799,7.688563276904341,8.188837935944639,8.315002141909735,9.633989266609058,8.144338385850382,9.875629462581248,8.022824006133881,8.081316404315265,8.002912452828673,9.349881364877495,8.668882751663912,9.692147367206578,8.966038868833323,8.48934559114024,9.283003234653687,8.851930967490704,8.09787772253587,8.265399900298766
CHEMBL1098285,DISTIGMINE BROMIDE,8.646041076960877,8.157402422721766,9.046767268107931,9.076170192457877,7.3762424087591585,9.173606770083197,7.217654687580574,7.354383795389363,7.372960391973265,8.063213147795818,9.116144068023154,8.197457639068864,9.1276555569285,9.120354244553996,9.131903146496292,8.985050647906686,9.08796497809075,8.76807085504878,9.07038997131685,9.095499889278033,9.013371572337366,9.079052113109851,9.118243851454976,9.109385151617122
